Customer ID	Birth Date	Gender	Item Purchased	Category	Purchase Amount (USD)	Location	Size	Color	Season	Review Rating	Subscription Status	Payment Method	Shipping Type	Discount Applied	Promo Code Used	Previous Purchases	Preferred Payment Method	Frequency of Purchases
1	1969/03/05	Male	Blouse	Clothing	53	Kentucky	L	Gray	Winter	3.1	Yes	Credit Card	Express	Yes	Yes	14	Venmo	Fortnightly
2	2005/07/01	Male	Sweater	Clothing	64	Maine	L	Maroon	Winter	3.1	Yes	Bank Transfer	Express	Yes	Yes	2	Cash	Fortnightly
3	1974/12/01	Male	Jeans	Clothing	73	Massachusetts	S	Maroon	Spring	3.1	Yes	Cash	Free Shipping	Yes	Yes	23	Credit Card	Weekly
4	2003/11/21	Male	Sandals	Footwear	90	Rhode Island	M	Maroon	Spring	3.5	Yes	PayPal	Next Day Air	Yes	Yes	49	PayPal	Weekly
5	1979/09/13	Male	Blouse	Clothing	49	Oregon	M	Turquoise	Spring	2.7	Yes	Cash	Free Shipping	Yes	Yes	31	PayPal	Annually
6	1978/02/11	Male	Sneakers	Footwear	20	Wyoming	M	White	Summer	2.9	Yes	Venmo	Standard	Yes	Yes	14	Venmo	Weekly
7	1961/09/11	Male	Shirt	Clothing	85	Montana	M	Gray	Fall	3.2	Yes	Debit Card	Free Shipping	Yes	Yes	49	Cash	Quarterly
8	1997/12/18	Male	Shorts	Clothing	34	Louisiana	L	Charcoal	Winter	3.2	Yes	Debit Card	Free Shipping	Yes	Yes	19	Credit Card	Weekly
9	1998/01/11	Male	Coat	Outerwear	97	West Virginia	L	Silver	Summer	2.6	Yes	Venmo	Express	Yes	Yes	8	Venmo	Annually
10	1967/04/16	Male	Handbag	Accessories	31	Missouri	M	Pink	Spring	4.8	Yes	PayPal	2-Day Shipping	Yes	Yes	4	Cash	Quarterly
11	1971/08/27	Male	Shoes	Footwear	34	Arkansas	L	Purple	Fall	4.1	Yes	Credit Card	Store Pickup	Yes	Yes	26	Bank Transfer	Bi-Weekly
12	1994/03/20	Male	Shorts	Clothing	68	Hawaii	S	Olive	Winter	4.9	Yes	PayPal	Store Pickup	Yes	Yes	10	Bank Transfer	Fortnightly
13	1963/12/27	Male	Coat	Outerwear	72	Delaware	M	Gold	Winter	4.5	Yes	PayPal	Express	Yes	Yes	37	Venmo	Fortnightly
14	1959/03/27	Male	Dress	Clothing	51	New Hampshire	M	Violet	Spring	4.7	Yes	Debit Card	Express	Yes	Yes	31	PayPal	Weekly
15	1960/01/24	Male	Coat	Outerwear	53	New York	L	Teal	Winter	4.7	Yes	PayPal	Free Shipping	Yes	Yes	34	Debit Card	Weekly
